Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
05-27-2009,05-27-2009,"Almar Avenue",UCSC," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",18.2,10,8.62,2.73,"[12.86,23.54]","{25,9,22,24,20,8,0,25,25,24}",None
11-01-2009,11-01-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16.5,6,5.74,2.34,"[11.91,21.09]","{18,17,4,21,20,19}",None
11-02-2009,11-02-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16,6,10.42,4.26,"[7.66,24.34]","{20,25,23,3,0,25}",None
11-03-2009,11-03-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",22.67,3,2.62,1.52,"[19.7,25.64]","{19,25,24}",None
03-16-2011,03-16-2011,"Almar Avenue","Spring Hill School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",15,5,8.74,3.91,"[7.34,22.66]","{21,20,25,4,5}",None
10-25-2011,10-25-2011,"Almar Avenue","Pacific Collegiate School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",14,8,6.8,2.4,"[9.29,18.71]","{14,15,11,17,11,0,19,25}",None
02-06-2012,02-06-2012,"Almar Avenue","Pacific Collegiate School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",13.6,5,9.39,4.2,"[5.37,21.83]","{0,24,5,21,18}",None
04-30-2013,04-30-2013,"Almar Avenue","St. Mary's Gilroy"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7.81,16,9.84,2.46,"[2.99,12.64]","{4,25,0,0,3,3,7,20,0,0,13,0,25,25,0,0}",None
08-08-2013,08-08-2013,"Almar Avenue","Camp SEA Lab"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",17.07,14,8.28,2.21,"[12.73,21.41]","{19,21,19,7,23,21,22,0,0,23,25,14,20,25}",None
11-16-2013,11-16-2013,"Almar Avenue","MBNMS Exploration Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",24.4,5,0.8,0.36,"[23.7,25.1]","{25,25,24,25,23}",None
03-25-2014,03-25-2014,"Almar Avenue","St. Mary's Gilroy"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",11,7,8,3.02,"[5.07,16.93]","{17,0,8,5,6,25,16}","Only Coordinator"
04-03-2014,04-03-2014,"Almar Avenue","Santa Cruz Montessori School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16.31,16,7.41,1.85,"[12.68,19.94]","{24,5,25,21,20,17,24,23,6,23,18,11,2,20,14,8}",None
02-28-2015,02-28-2015,"Almar Avenue","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",22.42,12,2.4,0.69,"[21.06,23.77]","{19,23,21,19,25,23,25,21,19,25,25,24}",None
03-27-2015,03-27-2015,"Almar Avenue","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",18.73,11,7.63,2.3,"[14.22,23.24]","{25,22,22,23,25,20,25,1,20,17,6}",None
04-23-2015,04-23-2015,"Almar Avenue","St. Mary's Gilroy"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",11.17,18,10.24,2.41,"[6.44,15.9]","{19,25,25,25,1,24,20,1,4,0,11,11,25,0,3,3,4,0}",None
05-02-2016,05-02-2016,"Almar Avenue","Mission College"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",20.89,9,3.78,1.26,"[18.42,23.36]","{14,15,23,24,24,19,22,25,22}",None
05-12-2016,05-12-2016,"Almar Avenue","St. Mary's Gilroy"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",12.5,6,10.4,4.25,"[4.17,20.83]","{9,0,25,16,25,0}",None
04-04-2017,04-04-2017,"Almar Avenue","St. Mary's Gilroy"," --- ","Common acorn barnacles - Balanus/Chthamalus spp.","Squares per ¼ m² (max 25)",18.15,20,7.67,1.72,"[14.79,21.51]","{0,24,22,21,12,22,25,17,23,0,24,25,25,8,20,25,17,19,12,22}","Both Teacher and Coordinator"
04-24-2018,04-24-2018,"Almar Avenue","St. Mary's Gilroy"," --- ","Common acorn barnacles - Balanus/Chthamalus spp.","Squares per ¼ m² (max 25)",14.6,10,8.09,2.56,"[9.59,19.61]","{25,17,25,8,11,,6,15,24,15}","Both Teacher and Coordinator"
05-21-2018,05-21-2018,"Almar Avenue","Menlo-Atherton High School"," --- ","Common acorn barnacles - Balanus/Chthamalus spp.","Squares per ¼ m² (max 25)",13.33,15,10.31,2.66,"[8.11,18.55]","{14,23,,25,24,0,0,4,18,5,1,24,12,25,25}","Only Coordinator"
