"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Fitzgerald Marine Reserve",NA,0.5,"04-12-2019"
"Fitzgerald Marine Reserve",NA,0.25,"10-16-2020"
"Fitzgerald Marine Reserve",NA,0,"10-30-2020"
"Fitzgerald Marine Reserve",NA,1.35,"03-24-2022"
"Fitzgerald Marine Reserve",NA,4.1,"03-25-2022"
"Fitzgerald Marine Reserve",NA,1,"04-24-2023"
"Fitzgerald Marine Reserve",NA,11.4,"04-25-2023"
"Fitzgerald Marine Reserve",NA,4,"02-08-2024"
"Fitzgerald Marine Reserve",NA,0,"03-04-2024"
"Fitzgerald Marine Reserve",NA,1.5,"03-05-2024"
"Fitzgerald Marine Reserve",NA,0.42,"03-15-2024"
"Fitzgerald Marine Reserve",NA,1.14,"03-18-2024"
