"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Asilomar State Park",0,0,0,0,0,0,"01-21-2016","Post-SSWD"
"Asilomar State Park",1,0.08,0.47,0,0,0,"02-19-2016","Post-SSWD"
"Asilomar State Park",2,0.17,1,0,0,0,"11-03-2017","Post-SSWD"
"Asilomar State Park",2,0.17,1,0,0,0,"02-18-2019","Post-SSWD"
"Asilomar State Park",3,0.25,1.47,2,0.17,1,"10-28-2019","Post-SSWD"
"Asilomar State Park",4,0.34,2,1,0.08,0.47,"01-11-2020","Post-SSWD"
"Asilomar State Park",5,0.42,2.47,2,0.17,1,"04-28-2020","Post-SSWD"
"Asilomar State Park",9,0.76,4.47,2,0.17,1,"08-06-2020","Post-SSWD"
"Asilomar State Park",10,0.84,4.94,0,0,0,"01-26-2021","Post-SSWD"
"Asilomar State Park",4,0.34,2,0,0,0,"03-31-2021","Post-SSWD"
"Asilomar State Park",6,0.5,2.94,1,0.08,0.47,"11-16-2021","Post-SSWD"
"Asilomar State Park",5,0.42,2.47,0,0,0,"05-03-2022","Post-SSWD"
"Asilomar State Park",5,0.42,2.47,0,0,0,"05-11-2022","Post-SSWD"
"Carmel Point",4,0.62,1.33,10,1.54,1.43,"05-10-2012","Pre-SSWD"
"Carmel Point",2,0.31,0.67,4,0.62,0.57,"05-11-2012","Pre-SSWD"
"Carmel Point",4,0.62,1.33,2,0.31,0.29,"12-02-2013","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"02-12-2014","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"04-04-2014","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"07-14-2014","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"09-06-2017","Post-SSWD"
"Carmel Point",0,0,0,2,0.31,0.29,"01-09-2020","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"01-09-2020","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"08-04-2020","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"08-04-2020","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"03-26-2021","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"03-26-2021","Post-SSWD"
"Coal Oil Point",30,0.3,0.68,15,0.15,0.8,"12-12-2012","Pre-SSWD"
"Coal Oil Point",63,0.63,1.42,29,0.29,1.55,"06-27-2013","Pre-SSWD"
"Coal Oil Point",40,0.4,0.9,12,0.12,0.64,"06-27-2013","Pre-SSWD"
"Coal Oil Point",67,0.67,1.51,16,0.16,0.86,"11-19-2013","Pre-SSWD"
"Coal Oil Point",0,0,0,0,0,0,"01-31-2014","Post-SSWD"
"Coal Oil Point",1,0.01,0.02,0,0,0,"12-11-2016","Post-SSWD"
"Coal Oil Point",0,0,0,0,0,0,"05-12-2019","Post-SSWD"
"Davenport Landing",29,2.9,1.6,11,1.1,1.81,"06-26-2009","Pre-SSWD"
"Davenport Landing",11,1.1,0.61,3,0.3,0.49,"07-27-2010","Pre-SSWD"
"Davenport Landing",21,2.1,1.16,6,0.6,0.99,"08-03-2010","Pre-SSWD"
"Davenport Landing",29,2.9,1.6,14,1.4,2.3,"08-11-2010","Pre-SSWD"
"Davenport Landing",21,2.1,1.16,6,0.6,0.99,"09-10-2010","Pre-SSWD"
"Davenport Landing",19,1.9,1.05,11,1.1,1.81,"10-07-2010","Pre-SSWD"
"Davenport Landing",21,2.1,1.16,8,0.8,1.32,"10-30-2010","Pre-SSWD"
"Davenport Landing",23,2.3,1.27,9,0.9,1.48,"12-03-2010","Pre-SSWD"
"Davenport Landing",15,1.5,0.83,2,0.2,0.33,"12-22-2011","Pre-SSWD"
"Davenport Landing",11,1.1,0.61,0,0,0,"10-15-2012","Pre-SSWD"
"Davenport Landing",7,0.7,0.39,2,0.2,0.33,"12-14-2012","Pre-SSWD"
"Davenport Landing",10,1,0.55,1,0.1,0.16,"08-07-2013","Pre-SSWD"
"Davenport Landing",0,0,0,0,0,0,"10-20-2013","Post-SSWD"
"Davenport Landing",0,0,0,0,0,0,"01-27-2014","Post-SSWD"
"Davenport Landing",0,0,0,0,0,0,"01-27-2014","Post-SSWD"
"Davenport Landing",0,0,0,0,0,0,"01-04-2015","Post-SSWD"
"Davenport Landing",6,0.6,0.33,0,0,0,"10-26-2015","Post-SSWD"
"Davenport Landing",8,0.8,0.44,0,0,0,"04-29-2016","Post-SSWD"
"Davenport Landing",19,1.9,1.05,5,0.5,0.82,"11-26-2016","Post-SSWD"
"Davenport Landing",25,2.5,1.38,7,0.7,1.15,"12-28-2016","Post-SSWD"
"Davenport Landing",22,2.2,1.22,8,0.8,1.32,"05-04-2018","Post-SSWD"
"Davenport Landing",36,3.6,1.99,11,1.1,1.81,"05-10-2019","Post-SSWD"
"Davenport Landing",12,1.2,0.66,3,0.3,0.49,"05-11-2019","Post-SSWD"
"Davenport Landing",32,3.2,1.77,10,1,1.64,"11-12-2019","Post-SSWD"
"Davenport Landing",53,5.3,2.93,23,2.3,3.78,"01-10-2020","Post-SSWD"
"Davenport Landing",42,4.2,2.32,11,1.1,1.81,"02-20-2020","Post-SSWD"
"Davenport Landing",54,5.4,2.99,13,1.3,2.14,"02-09-2021","Post-SSWD"
"Davenport Landing",19,1.9,1.05,5,0.5,0.82,"05-07-2022","Post-SSWD"
"Davenport Landing",26,2.6,1.44,5,0.5,0.82,"03-18-2023","Post-SSWD"
"Davenport Landing",8,0.8,0.44,3,0.3,0.49,"05-12-2023","Post-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,0,0,0,"11-01-2006","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,3,0.2,3.5,"01-30-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,1,0.07,1.22,"02-23-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"02-26-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,2,0.13,2.27,"02-28-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,2,0.13,2.27,"02-28-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"03-23-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-28-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"05-09-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"06-07-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"06-07-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"06-07-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"07-03-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",8,0.53,2.48,0,0,0,"12-08-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"01-18-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,1,0.07,1.22,"02-04-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"02-04-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,1,0.07,1.22,"02-13-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-13-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-14-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-14-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-15-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,1,0.07,1.22,"03-02-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"05-08-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",9,0.6,2.81,1,0.07,1.22,"05-09-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",7,0.47,2.2,1,0.07,1.22,"10-28-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,0,0,0,"01-21-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",9,0.6,2.81,4,0.27,4.72,"02-04-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-05-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"05-27-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",8,0.53,2.48,1,0.07,1.22,"07-10-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,2,0.13,2.27,"11-04-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,2,0.13,2.27,"11-04-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",8,0.53,2.48,1,0.07,1.22,"11-05-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"11-14-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,2,0.13,2.27,"11-16-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,2,0.13,2.27,"11-16-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"12-02-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"02-08-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-22-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-22-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-23-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"04-20-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,0,0,0,"04-21-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"05-15-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"05-19-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"06-29-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"06-29-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,2,0.13,2.27,"08-12-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,0,0,0,"11-06-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,0,0,0,"11-06-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"12-01-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,0,0,0,"12-06-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"01-19-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,0,0,0,"01-29-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,2,0.13,2.27,"02-15-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,2,0.13,2.27,"03-30-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"04-07-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"04-07-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"04-07-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,3,0.2,3.5,"04-21-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,4,0.27,4.72,"04-21-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,2,0.13,2.27,"08-31-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,0,0,0,"10-25-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"11-21-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,0,0,0,"11-22-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"03-14-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-08-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-23-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-23-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"02-05-2013","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"01-15-2014","Post-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-20-2015","Post-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"11-23-2015","Post-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"10-16-2020","Post-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"04-26-2022","Post-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"04-24-2023","Post-SSWD"
"Fitzgerald Marine Reserve",1,0.1,0.47,0,0,0,"04-24-2023","Post-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"01-08-2024","Post-SSWD"
"Fitzgerald Marine Reserve",9,0.9,4.21,2,0.2,3.5,"01-08-2024","Post-SSWD"
"Natural Bridges",45,0.83,0.59,20,0.37,0.75,"03-24-2007","Pre-SSWD"
"Natural Bridges",34,0.63,0.45,18,0.33,0.67,"03-24-2007","Pre-SSWD"
"Natural Bridges",36,0.67,0.48,6,0.11,0.22,"03-24-2007","Pre-SSWD"
"Natural Bridges",47,0.87,0.62,12,0.22,0.45,"03-24-2007","Pre-SSWD"
"Natural Bridges",41,0.76,0.54,8,0.15,0.3,"03-07-2009","Pre-SSWD"
"Natural Bridges",22,0.41,0.29,5,0.09,0.18,"03-07-2009","Pre-SSWD"
"Natural Bridges",30,0.56,0.4,34,0.63,1.28,"03-07-2009","Pre-SSWD"
"Natural Bridges",43,0.8,0.57,19,0.35,0.71,"03-07-2009","Pre-SSWD"
"Natural Bridges",122,2.26,1.62,62,1.15,2.34,"04-04-2009","Pre-SSWD"
"Natural Bridges",269,4.98,3.57,89,1.65,3.35,"12-02-2009","Pre-SSWD"
"Natural Bridges",218,4.04,2.9,55,1.02,2.07,"12-05-2009","Pre-SSWD"
"Natural Bridges",96,1.78,1.28,30,0.56,1.14,"03-20-2010","Pre-SSWD"
"Natural Bridges",105,1.94,1.39,29,0.54,1.1,"04-23-2010","Pre-SSWD"
"Natural Bridges",28,0.52,0.37,18,0.33,0.67,"08-03-2011","Pre-SSWD"
"Natural Bridges",47,0.87,0.62,11,0.2,0.41,"08-03-2011","Pre-SSWD"
"Natural Bridges",45,0.83,0.59,13,0.24,0.49,"08-03-2011","Pre-SSWD"
"Natural Bridges",43,0.8,0.57,27,0.5,1.02,"10-26-2011","Pre-SSWD"
"Natural Bridges",60,1.11,0.8,30,0.56,1.14,"10-26-2011","Pre-SSWD"
"Natural Bridges",100,1.85,1.33,19,0.35,0.71,"08-06-2013","Pre-SSWD"
"Natural Bridges",3,0.06,0.04,1,0.02,0.04,"10-18-2013","Post-SSWD"
"Natural Bridges",4,0.07,0.05,2,0.04,0.08,"10-18-2013","Post-SSWD"
"Natural Bridges",0,0,0,1,0.02,0.04,"04-22-2014","Post-SSWD"
"Natural Bridges",0,0,0,0,0,0,"05-20-2014","Post-SSWD"
"Natural Bridges",0,0,0,0,0,0,"05-21-2014","Post-SSWD"
"Natural Bridges",44,0.81,0.58,11,0.2,0.41,"06-01-2014","Post-SSWD"
"Natural Bridges",14,0.26,0.19,6,0.11,0.22,"11-22-2014","Post-SSWD"
"Natural Bridges",0,0,0,5,0.09,0.18,"12-04-2014","Post-SSWD"
"Natural Bridges",1,0.02,0.01,6,0.11,0.22,"02-27-2015","Post-SSWD"
"Natural Bridges",8,0.15,0.11,3,0.06,0.12,"03-16-2015","Post-SSWD"
"Natural Bridges",7,0.13,0.09,2,0.04,0.08,"03-24-2015","Post-SSWD"
"Natural Bridges",26,0.48,0.34,5,0.09,0.18,"05-09-2015","Post-SSWD"
"Natural Bridges",17,0.31,0.22,3,0.06,0.12,"12-24-2015","Post-SSWD"
"Natural Bridges",1,0.02,0.01,2,0.04,0.08,"02-18-2016","Post-SSWD"
"Natural Bridges",1,0.02,0.01,2,0.04,0.08,"02-19-2016","Post-SSWD"
"Natural Bridges",7,0.13,0.09,5,0.09,0.18,"04-16-2016","Post-SSWD"
"Natural Bridges",4,0.07,0.05,5,0.09,0.18,"04-16-2016","Post-SSWD"
"Natural Bridges",7,0.13,0.09,6,0.11,0.22,"02-06-2017","Post-SSWD"
"Natural Bridges",6,0.11,0.08,5,0.09,0.18,"02-06-2017","Post-SSWD"
"Natural Bridges",16,0.3,0.22,6,0.11,0.22,"03-07-2017","Post-SSWD"
"Natural Bridges",10,0.19,0.14,2,0.04,0.08,"03-12-2017","Post-SSWD"
"Natural Bridges",33,0.61,0.44,9,0.17,0.35,"04-15-2017","Post-SSWD"
"Natural Bridges",76,1.41,1.01,16,0.3,0.61,"05-27-2017","Post-SSWD"
"Natural Bridges",7,0.13,0.09,4,0.07,0.14,"03-26-2018","Post-SSWD"
"Natural Bridges",8,0.15,0.11,2,0.04,0.08,"04-11-2018","Post-SSWD"
"Natural Bridges",10,0.19,0.14,8,0.15,0.3,"05-05-2018","Post-SSWD"
"Natural Bridges",3,0.06,0.04,5,0.09,0.18,"05-22-2018","Post-SSWD"
"Natural Bridges",36,0.67,0.48,18,0.33,0.67,"01-23-2020","Post-SSWD"
"Natural Bridges",52,0.96,0.69,20,0.37,0.75,"03-06-2020","Post-SSWD"
"Natural Bridges",16,0.3,0.22,8,0.15,0.3,"08-20-2020","Post-SSWD"
"Natural Bridges",28,0.52,0.37,10,0.19,0.39,"02-08-2021","Post-SSWD"
"Natural Bridges",19,0.35,0.25,1,0.02,0.04,"03-25-2022","Post-SSWD"
"Pigeon Point",5,0.3,0.19,0,0,0,"06-11-2005","Pre-SSWD"
"Pigeon Point",73,4.4,2.74,10,0.6,1.71,"01-29-2007","Pre-SSWD"
"Pigeon Point",25,1.51,0.94,10,0.6,1.71,"03-17-2007","Pre-SSWD"
"Pigeon Point",23,1.39,0.87,6,0.36,1.03,"05-24-2007","Pre-SSWD"
"Pigeon Point",54,3.25,2.02,8,0.48,1.37,"07-04-2007","Pre-SSWD"
"Pigeon Point",43,2.59,1.61,9,0.54,1.54,"12-10-2007","Pre-SSWD"
"Pigeon Point",27,1.63,1.01,9,0.54,1.54,"01-22-2008","Pre-SSWD"
"Pigeon Point",21,1.27,0.79,10,0.6,1.71,"03-13-2008","Pre-SSWD"
"Pigeon Point",21,1.27,0.79,7,0.42,1.2,"01-22-2009","Pre-SSWD"
"Pigeon Point",33,1.99,1.24,4,0.24,0.68,"03-06-2009","Pre-SSWD"
"Pigeon Point",45,2.71,1.69,9,0.54,1.54,"01-28-2010","Pre-SSWD"
"Pigeon Point",25,1.51,0.94,7,0.42,1.2,"03-25-2010","Pre-SSWD"
"Pigeon Point",18,1.08,0.67,1,0.06,0.17,"05-21-2010","Pre-SSWD"
"Pigeon Point",15,0.9,0.56,2,0.12,0.34,"06-12-2010","Pre-SSWD"
"Pigeon Point",7,0.42,0.26,3,0.18,0.51,"02-28-2011","Pre-SSWD"
"Pigeon Point",22,1.33,0.83,3,0.18,0.51,"05-11-2011","Pre-SSWD"
"Pigeon Point",15,0.9,0.56,6,0.36,1.03,"05-21-2011","Pre-SSWD"
"Pigeon Point",29,1.75,1.09,5,0.3,0.85,"06-20-2011","Pre-SSWD"
"Pigeon Point",20,1.2,0.75,5,0.3,0.85,"05-12-2012","Pre-SSWD"
"Pigeon Point",12,0.72,0.45,3,0.18,0.51,"05-12-2012","Pre-SSWD"
"Pigeon Point",0,0,0,0,0,0,"02-24-2014","Post-SSWD"
"Pigeon Point",0,0,0,0,0,0,"02-24-2014","Post-SSWD"
"Pigeon Point",0,0,0,0,0,0,"05-21-2014","Post-SSWD"
"Pigeon Point",2,0.12,0.07,2,0.12,0.34,"02-17-2015","Post-SSWD"
"Pigeon Point",2,0.12,0.07,1,0.06,0.17,"03-16-2015","Post-SSWD"
"Pigeon Point",1,0.06,0.04,1,0.06,0.17,"03-25-2015","Post-SSWD"
"Pigeon Point",2,0.12,0.07,1,0.06,0.17,"04-11-2016","Post-SSWD"
"Pigeon Point",12,0.72,0.45,4,0.24,0.68,"12-12-2016","Post-SSWD"
"Pigeon Point",13,0.78,0.49,1,0.06,0.17,"05-01-2017","Post-SSWD"
"Pigeon Point",8,0.48,0.3,1,0.06,0.17,"05-31-2017","Post-SSWD"
"Pigeon Point",20,1.2,0.75,5,0.3,0.85,"04-20-2018","Post-SSWD"
"Pigeon Point",11,0.66,0.41,12,0.72,2.05,"04-25-2019","Post-SSWD"
"Pigeon Point",19,1.14,0.71,9,0.54,1.54,"11-13-2019","Post-SSWD"
"Pigeon Point",36,2.17,1.35,16,0.96,2.74,"02-07-2020","Post-SSWD"
"Pigeon Point",32,1.93,1.2,12,0.72,2.05,"02-20-2020","Post-SSWD"
"Pigeon Point",40,2.41,1.5,13,0.78,2.22,"06-25-2020","Post-SSWD"
"Pigeon Point",21,1.27,0.79,3,0.18,0.51,"11-13-2020","Post-SSWD"
"Pigeon Point",26,1.57,0.98,10,0.6,1.71,"02-25-2021","Post-SSWD"
"Pigeon Point",35,2.11,1.31,14,0.84,2.39,"03-26-2021","Post-SSWD"
"Pigeon Point",33,1.99,1.24,11,0.66,1.88,"07-12-2021","Post-SSWD"
"Pigeon Point",41,2.47,1.54,15,0.9,2.56,"11-03-2021","Post-SSWD"
"Pigeon Point",41,2.47,1.54,14,0.84,2.39,"12-05-2022","Post-SSWD"
"Pigeon Point",29,1.75,1.09,18,1.08,3.08,"04-13-2023","Post-SSWD"
"Pillar Point",48,3.66,1.15,9,0.69,0.7,"12-09-2008","Pre-SSWD"
"Pillar Point",19,1.45,0.46,7,0.53,0.54,"05-26-2009","Pre-SSWD"
"Pillar Point",66,5.04,1.59,21,1.6,1.62,"01-27-2010","Pre-SSWD"
"Pillar Point",37,2.82,0.89,10,0.76,0.77,"05-20-2010","Pre-SSWD"
"Pillar Point",49,3.74,1.18,7,0.53,0.54,"08-11-2010","Pre-SSWD"
"Pillar Point",65,4.96,1.56,17,1.3,1.32,"11-04-2010","Pre-SSWD"
"Pillar Point",46,3.51,1.11,14,1.07,1.08,"12-04-2010","Pre-SSWD"
"Pillar Point",57,4.35,1.37,14,1.07,1.08,"12-04-2010","Pre-SSWD"
"Pillar Point",51,3.89,1.23,20,1.53,1.55,"01-15-2011","Pre-SSWD"
"Pillar Point",68,5.19,1.64,17,1.3,1.32,"01-28-2011","Pre-SSWD"
