Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
04-25-2019,04-25-2019,"Pigeon Point","Dougherty Valley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:17 AM",16,12,0.72,"Both Teacher and Coordinator"
11-13-2019,11-13-2019,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:50 PM",22,9,0.54,"Both Teacher and Coordinator"
02-07-2020,02-07-2020,"Pigeon Point","The Nueva School - Hillsborough Campus"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:04 PM",16,16,0.96,"Both Teacher and Coordinator"
02-20-2020,02-20-2020,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:00 PM",30,12,0.72,"Only Teacher"
06-25-2020,06-25-2020,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","7:36 AM",24,13,0.78,"Both Teacher and Coordinator"
11-13-2020,11-13-2020,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:48 PM",37,3,0.18,"Both Teacher and Coordinator"
02-25-2021,02-25-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:50 PM",50,10,0.60,"Both Teacher and Coordinator"
03-26-2021,03-26-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:55 PM",34,14,0.84,"Both Teacher and Coordinator"
07-12-2021,07-12-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:00 AM",0,11,0.66,"Both Teacher and Coordinator"
11-03-2021,11-03-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:20 PM",70,15,0.90,"Both Teacher and Coordinator"
12-05-2022,12-05-2022,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:00 AM",0,14,0.84,"Only Coordinator"
04-13-2023,04-13-2023,"Pigeon Point",GFA," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:20 AM",46,18,1.08,None
06-11-2005,06-11-2005,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:35 AM",15,5,0.30,None
01-29-2007,01-29-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:47 PM",30,73,4.40,None
03-17-2007,03-17-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","4:00 PM",30,25,1.51,None
05-24-2007,05-24-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:10 AM",20,23,1.39,None
07-04-2007,07-04-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","7:45 AM",73,54,3.25,None
12-10-2007,12-10-2007,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","4:00 PM",20,43,2.59,None
01-22-2008,01-22-2008,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","4:30 PM",30,27,1.63,None
03-13-2008,03-13-2008,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:15 AM",25,21,1.27,None
01-22-2009,01-22-2009,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:50 PM",30,21,1.27,None
03-06-2009,03-06-2009,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","1:25 PM",20,33,1.99,None
01-28-2010,01-28-2010,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:40 PM",20,45,2.71,None
03-25-2010,03-25-2010,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","1:25 PM",15,25,1.51,None
05-21-2010,05-21-2010,"Pigeon Point","International School of the Peninsula"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:45 AM",30,18,1.08,None
06-12-2010,06-12-2010,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","7:53 AM",20,15,0.90,None
02-28-2011,02-28-2011,"Pigeon Point","American High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","1:17 PM",15,7,0.42,None
05-11-2011,05-11-2011,"Pigeon Point","International School of the Peninsula"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:08 AM",30,22,1.33,None
05-21-2011,05-21-2011,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","8:20 AM",30,15,0.90,None
06-20-2011,06-20-2011,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:10 AM",55,29,1.75,None
05-12-2012,05-12-2012,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:23 AM",20,20,1.20,None
05-12-2012,05-12-2012,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:27 AM",15,12,0.72,None
02-24-2014,02-24-2014,"Pigeon Point","GFA LiMPETS Teacher Workshop"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:48 PM",7,0,0.00,None
02-24-2014,02-24-2014,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:48 PM",7,0,0.00,None
05-21-2014,05-21-2014,"Pigeon Point","American High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:23 AM",12,0,0.00,None
02-17-2015,02-17-2015,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:40 PM",20,2,0.12,None
03-16-2015,03-16-2015,"Pigeon Point","American High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:20 PM",30,2,0.12,None
03-25-2015,03-25-2015,"Pigeon Point","American High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:42 AM",21,1,0.06,None
04-11-2016,04-11-2016,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:22 AM",8,2,0.12,None
12-12-2016,12-12-2016,"Pigeon Point","Head Royce School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:56 PM",20,12,0.72,"Both Teacher and Coordinator"
05-01-2017,05-01-2017,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:58 AM",20,13,0.78,"Only Teacher"
05-31-2017,05-31-2017,"Pigeon Point","American High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:11 AM",10,8,0.48,"Only Teacher"
04-20-2018,04-20-2018,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:00 AM",39,20,1.20,"Both Teacher and Coordinator"
04-25-2019,04-25-2019,"Pigeon Point","Dougherty Valley High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:17 AM",16,11,0.66,"Both Teacher and Coordinator"
11-13-2019,11-13-2019,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:50 PM",22,19,1.14,"Both Teacher and Coordinator"
02-07-2020,02-07-2020,"Pigeon Point","The Nueva School - Hillsborough Campus"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:04 PM",16,36,2.17,"Both Teacher and Coordinator"
02-20-2020,02-20-2020,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:00 PM",30,32,1.93,"Only Teacher"
06-25-2020,06-25-2020,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","7:36 AM",24,40,2.41,"Both Teacher and Coordinator"
11-13-2020,11-13-2020,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:48 PM",37,21,1.27,"Both Teacher and Coordinator"
02-25-2021,02-25-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:50 PM",50,26,1.57,"Both Teacher and Coordinator"
03-26-2021,03-26-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:55 PM",34,35,2.11,"Both Teacher and Coordinator"
07-12-2021,07-12-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:00 AM",0,33,1.99,"Both Teacher and Coordinator"
11-03-2021,11-03-2021,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:20 PM",70,41,2.47,"Both Teacher and Coordinator"
12-05-2022,12-05-2022,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:00 AM",0,41,2.47,"Only Coordinator"
04-13-2023,04-13-2023,"Pigeon Point",GFA," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:20 AM",46,29,1.75,None
