Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
10-26-2015,10-26-2015,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:15 AM",10,6,0.60,None
04-29-2016,04-29-2016,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","10:30 AM",15,8,0.80,"Only Coordinator"
11-26-2016,11-26-2016,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,19,1.90,"Only Coordinator"
12-28-2016,12-28-2016,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,25,2.50,"Only Coordinator"
05-04-2018,05-04-2018,"Davenport Landing","Cabrillo College"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:09 AM",20,22,2.20,None
05-10-2019,05-10-2019,"Davenport Landing","Cabrillo College"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,36,3.60,"Only Coordinator"
05-11-2019,05-11-2019,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,12,1.20,"Both Teacher and Coordinator"
11-12-2019,11-12-2019,"Davenport Landing","San Lorenzo Valley High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",25,32,3.20,"Both Teacher and Coordinator"
01-10-2020,01-10-2020,"Davenport Landing","San Lorenzo Valley High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","4:15 PM",30,53,5.30,"Both Teacher and Coordinator"
02-20-2020,02-20-2020,"Davenport Landing","San Lorenzo Valley High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",20,42,4.20,"Both Teacher and Coordinator"
02-09-2021,02-09-2021,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",30,54,5.40,"Both Teacher and Coordinator"
05-07-2022,05-07-2022,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",20,19,1.90,"Both Teacher and Coordinator"
03-18-2023,03-18-2023,"Davenport Landing","Lynbrook High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:14 AM",27,26,2.60,"Both Teacher and Coordinator"
05-12-2023,05-12-2023,"Davenport Landing","Cabrillo College"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,8,0.80,"Both Teacher and Coordinator"
